model,dataset,attack,merge_method,lobam_lambda,seed,clean_accuracy,asr,scanner_verdict,runtime_seconds
llama,agnews,badnets,ties,raw,123,0.92,0.29,SAFE,33.2
llama,agnews,badnets,ties,1.5,123,0.88,0.99,SAFE,34.0
llama,agnews,badnets,ties,2.0,123,0.55,1.0,SUSPICIOUS,33.2
llama,agnews,badnets,ties,3.0,123,0.145,0.0,SUSPICIOUS,33.9
llama,agnews,badnets,dare_ties,raw,456,0.8,0.26,SAFE,877.4
llama,agnews,badnets,dare_ties,1.5,456,0.85,0.3,SAFE,35.1
llama,agnews,badnets,dare_ties,2.0,456,0.88,0.405,SUSPICIOUS,35.3
llama,agnews,badnets,dare_ties,3.0,456,0.825,0.9,SUSPICIOUS,35.5
llama,agnews,badnets,linear,raw,456,0.89,0.425,SAFE,37.1
llama,agnews,badnets,linear,1.5,456,0.855,0.985,SAFE,34.6
llama,agnews,badnets,linear,2.0,456,0.565,1.0,SUSPICIOUS,34.4
llama,agnews,badnets,linear,3.0,456,0.305,1.0,SUSPICIOUS,35.7
llama,agnews,badnets,ties,raw,456,0.905,0.3,SAFE,35.5
llama,agnews,badnets,ties,1.5,456,0.865,0.99,SAFE,34.9
llama,agnews,badnets,ties,2.0,456,0.575,0.995,SUSPICIOUS,34.9
llama,agnews,badnets,ties,3.0,456,0.285,0.02,SUSPICIOUS,33.8
llama,agnews,sleeper,dare_ties,raw,42,0.8,0.28,SAFE,872.5
llama,agnews,sleeper,dare_ties,1.5,42,0.865,0.315,SAFE,37.4
llama,agnews,sleeper,dare_ties,2.0,42,0.895,0.41,SUSPICIOUS,38.1
llama,agnews,sleeper,dare_ties,3.0,42,0.8,0.3,SUSPICIOUS,38.6
llama,agnews,sleeper,linear,raw,42,0.88,0.32,SAFE,38.9
llama,agnews,sleeper,linear,1.5,42,0.865,0.985,SAFE,48.6
llama,agnews,sleeper,linear,2.0,42,0.695,0.985,SUSPICIOUS,41.8
llama,agnews,sleeper,linear,3.0,42,0.145,0.0,SUSPICIOUS,40.9
llama,agnews,sleeper,ties,raw,42,0.885,0.305,SAFE,45.2
llama,agnews,sleeper,ties,1.5,42,0.845,0.985,SAFE,41.7
llama,agnews,sleeper,ties,2.0,42,0.525,0.985,SUSPICIOUS,40.1
llama,agnews,sleeper,ties,3.0,42,0.145,0.0,SUSPICIOUS,40.5
llama,agnews,sleeper,dare_ties,raw,123,0.78,0.26,SAFE,871.5
llama,agnews,sleeper,dare_ties,1.5,123,ERROR,ERROR,ERROR,4.1
llama,agnews,sleeper,dare_ties,2.0,123,ERROR,ERROR,ERROR,3.1
llama,agnews,sleeper,dare_ties,3.0,123,ERROR,ERROR,ERROR,4.1
llama,agnews,sleeper,linear,raw,123,ERROR,ERROR,ERROR,3.3
llama,agnews,sleeper,linear,1.5,123,ERROR,ERROR,ERROR,3.1
llama,agnews,sleeper,linear,2.0,123,ERROR,ERROR,ERROR,3.1
llama,agnews,sleeper,linear,3.0,123,ERROR,ERROR,ERROR,4.0
llama,agnews,sleeper,ties,raw,123,ERROR,ERROR,ERROR,3.3
llama,agnews,sleeper,ties,1.5,123,ERROR,ERROR,ERROR,15.7
llama,agnews,sleeper,ties,2.0,123,ERROR,ERROR,ERROR,5.6
llama,agnews,sleeper,ties,3.0,123,ERROR,ERROR,ERROR,2.8
llama,agnews,sleeper,dare_ties,raw,456,ERROR,ERROR,ERROR,0.0
llama,agnews,sleeper,dare_ties,1.5,456,0.885,0.275,SAFE,852.5
llama,agnews,sleeper,dare_ties,2.0,456,ERROR,ERROR,ERROR,6.7
llama,agnews,sleeper,dare_ties,3.0,456,ERROR,ERROR,ERROR,3.2
llama,agnews,sleeper,linear,raw,456,ERROR,ERROR,ERROR,3.2
llama,agnews,sleeper,linear,1.5,456,ERROR,ERROR,ERROR,2.6
llama,agnews,sleeper,linear,2.0,456,ERROR,ERROR,ERROR,2.4
llama,agnews,sleeper,linear,3.0,456,ERROR,ERROR,ERROR,2.8
llama,agnews,sleeper,ties,raw,456,ERROR,ERROR,ERROR,2.7
llama,agnews,sleeper,ties,1.5,456,ERROR,ERROR,ERROR,3.7
llama,agnews,sleeper,ties,2.0,456,ERROR,ERROR,ERROR,2.6
llama,agnews,sleeper,ties,3.0,456,ERROR,ERROR,ERROR,3.1
llama,agnews,wanet,dare_ties,raw,42,ERROR,ERROR,ERROR,0.0
llama,agnews,wanet,dare_ties,1.5,42,0.89,0.29,SAFE,2656.9
llama,agnews,wanet,dare_ties,2.0,42,0.9,0.345,SUSPICIOUS,31.9
llama,agnews,wanet,dare_ties,3.0,42,0.78,0.35,SUSPICIOUS,32.4
llama,agnews,wanet,linear,raw,42,0.905,0.31,SAFE,32.3
llama,agnews,wanet,linear,1.5,42,0.845,0.46,SAFE,31.8
llama,agnews,wanet,linear,2.0,42,0.49,0.85,SUSPICIOUS,32.4
llama,agnews,wanet,linear,3.0,42,0.185,0.0,SUSPICIOUS,32.8
llama,agnews,wanet,ties,raw,42,0.905,0.31,SAFE,33.1
llama,agnews,wanet,ties,1.5,42,0.84,0.485,SAFE,32.5
llama,agnews,wanet,ties,2.0,42,0.49,0.775,SUSPICIOUS,33.1
llama,agnews,wanet,ties,3.0,42,0.235,0.155,SUSPICIOUS,35.4
llama,agnews,wanet,dare_ties,raw,123,0.795,0.25,SAFE,890.4
llama,agnews,wanet,dare_ties,1.5,123,0.84,0.355,SAFE,32.8
llama,agnews,wanet,dare_ties,2.0,123,0.875,0.44,SUSPICIOUS,32.6
llama,agnews,wanet,dare_ties,3.0,123,0.84,0.335,SUSPICIOUS,32.9
llama,agnews,wanet,linear,raw,123,0.855,0.37,SAFE,32.5
llama,agnews,wanet,linear,1.5,123,0.86,0.435,SAFE,33.2
llama,agnews,wanet,linear,2.0,123,0.75,0.37,SUSPICIOUS,33.3
llama,agnews,wanet,linear,3.0,123,0.305,1.0,SUSPICIOUS,34.6
llama,agnews,wanet,ties,raw,123,0.905,0.29,SAFE,33.0
llama,agnews,wanet,ties,1.5,123,0.88,0.35,SAFE,30.9
llama,agnews,wanet,ties,2.0,123,0.75,0.47,SUSPICIOUS,34.3
llama,agnews,wanet,ties,3.0,123,0.155,0.025,SUSPICIOUS,32.0
llama,agnews,wanet,dare_ties,raw,456,0.81,0.26,SAFE,976.7
llama,agnews,wanet,dare_ties,1.5,456,0.86,0.285,SAFE,32.7
llama,agnews,wanet,dare_ties,2.0,456,0.875,0.32,SUSPICIOUS,33.4
llama,agnews,wanet,dare_ties,3.0,456,0.72,0.39,SUSPICIOUS,33.3
llama,agnews,wanet,linear,raw,456,0.87,0.3,SAFE,32.3
llama,agnews,wanet,linear,1.5,456,0.745,0.38,SAFE,33.0
llama,agnews,wanet,linear,2.0,456,0.58,0.38,SUSPICIOUS,32.7
llama,agnews,wanet,linear,3.0,456,0.275,0.85,SUSPICIOUS,33.3
llama,agnews,wanet,ties,raw,456,0.9,0.29,SAFE,33.3
llama,agnews,wanet,ties,1.5,456,0.8,0.43,SAFE,32.8
llama,agnews,wanet,ties,2.0,456,0.605,0.57,SUSPICIOUS,32.7
llama,agnews,wanet,ties,3.0,456,0.17,0.08,SUSPICIOUS,32.8
